IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.22.210,2096,0,true,HKG,Asia Pacific,Hong Kong,60,16.39
47.238.40.58,2083,0,true,HKG,Asia Pacific,Hong Kong,60,9.86
8.218.22.210,80,0,false,HKG,Asia Pacific,Hong Kong,60,8.77
58.82.242.199,21154,0,false,HKG,Asia Pacific,Hong Kong,63,5.46
8.218.22.210,8080,0,false,HKG,Asia Pacific,Hong Kong,53,4.77
8.218.22.210,8880,0,false,HKG,Asia Pacific,Hong Kong,58,4.75
8.218.22.210,2082,0,false,HKG,Asia Pacific,Hong Kong,60,3.80
47.76.32.108,8080,0,false,HKG,Asia Pacific,Hong Kong,55,3.53
47.76.32.108,2082,0,false,HKG,Asia Pacific,Hong Kong,60,3.18
8.210.207.214,2053,0,true,HKG,Asia Pacific,Hong Kong,59,2.60
8.210.207.214,2095,0,false,HKG,Asia Pacific,Hong Kong,59,1.90
47.76.32.108,2095,0,false,HKG,Asia Pacific,Hong Kong,61,1.37
58.82.242.199,11130,0,true,HKG,Asia Pacific,Hong Kong,64,1.36
8.218.22.210,2087,0,true,HKG,Asia Pacific,Hong Kong,58,1.29
8.210.207.214,2052,0,false,HKG,Asia Pacific,Hong Kong,60,1.12
8.210.207.214,80,0,false,HKG,Asia Pacific,Hong Kong,60,1.09
43.155.22.176,80,0,false,HKG,Asia Pacific,Hong Kong,63,0.94
101.6.228.23,2052,0,false,HKG,Asia Pacific,Hong Kong,16,0.88
47.76.146.1,2096,0,true,HKG,Asia Pacific,Hong Kong,62,0.86
58.82.242.199,36600,0,true,HKG,Asia Pacific,Hong Kong,67,0.74
58.82.242.199,34384,0,true,HKG,Asia Pacific,Hong Kong,66,0.68
47.76.146.1,80,0,false,HKG,Asia Pacific,Hong Kong,59,0.68
8.210.207.214,2086,0,false,HKG,Asia Pacific,Hong Kong,56,0.64
47.76.94.15,8080,0,false,HKG,Asia Pacific,Hong Kong,60,0.47
8.217.90.154,443,443,true,HKG,Asia Pacific,Hong Kong,53,0.46
47.76.32.108,8880,0,false,HKG,Asia Pacific,Hong Kong,64,0.42
183.232.159.226,2052,0,false,HKG,Asia Pacific,Hong Kong,34,0.20
159.138.131.240,443,0,true,HKG,Asia Pacific,Hong Kong,59,0.20
202.81.232.199,44036,0,true,HKG,Asia Pacific,Hong Kong,89,0.17
154.88.31.91,30000,0,true,HKG,Asia Pacific,Hong Kong,61,0.12
38.207.179.191,33135,0,true,HKG,Asia Pacific,Hong Kong,117,0.10
154.204.56.238,34237,0,true,HKG,Asia Pacific,Hong Kong,240,0.08
154.23.185.52,34237,0,true,HKG,Asia Pacific,Hong Kong,57,0.08
38.181.25.31,52001,0,true,HKG,Asia Pacific,Hong Kong,54,0.07
101.36.127.49,443,0,true,HKG,Asia Pacific,Hong Kong,51,0.06
154.204.60.218,29876,0,true,HKG,Asia Pacific,Hong Kong,88,0.04
38.181.35.164,37459,0,true,HKG,Asia Pacific,Hong Kong,52,0.04
38.181.35.164,36350,443,true,HKG,Asia Pacific,Hong Kong,56,0.04
47.76.77.103,2053,0,true,HKG,Asia Pacific,Hong Kong,59,0.00
103.103.245.205,20018,0,true,HKG,Asia Pacific,Hong Kong,59,0.00
47.76.32.108,2096,0,true,HKG,Asia Pacific,Hong Kong,62,0.00
23.247.139.48,30809,0,false,HKG,Asia Pacific,Hong Kong,58,0.00
8.218.22.210,2095,0,false,HKG,Asia Pacific,Hong Kong,60,0.00
43.128.26.74,443,443,true,HKG,Asia Pacific,Hong Kong,59,0.00
58.82.242.199,23559,0,true,HKG,Asia Pacific,Hong Kong,66,0.00
47.76.32.108,2053,0,true,HKG,Asia Pacific,Hong Kong,61,0.00
